scientific_name	relative_abundance1	relative_abundance2	relative_abundance3	relative_abundance4	relative_abundance5	relative_abundance6	relative_abundance7	relative_abundance8	relative_abundance9	relative_abundance10
Parabacteroides gordonii	0	0	0	0.00433388	0.00523204	0.00302939	0	0	0	0
Parabacteroides johnsonii	0.0195227	0	0	0.00433388	0	0	0.0174019	0.00744879	0	0.0200612
Parabacteroides merdae	3.57753	0.455113	0	1.3045	0	1.0209	2.44062	1.02793	0.174546	0
Paraclostridium bifermentans	0	0	3.65358	0	0	0	0	0	0	0.00167177
Paraprevotella clara	1.21529	0.0044619	0	0.00433388	0	0.00605877	0.0304533	0	0.00498703	0
Paraprevotella xylaniphila	0	4.38158	0	0.00433388	0	0	0	0	0.00997407	0.00334353
Parasutterella excrementihominis	0.07321	0.0624665	0.00671614	1.01846	0.0104641	0.190851	0.0217524	0.301676	0	0.0718859
Pectinatus haikarae	0	0.00892379	0	0	0	0	0	0	0	0.00668706
Pediococcus acidilactici	0	0.0044619	0.0100742	0	0	0	0	0	0	0
Peptococcus niger	0.00976134	0	0.0167904	0	0	0	0	0	0.00997407	0.00668706
Peptostreptococcus stomatis	0	0	0.0772356	0	0	0	0.00435047	0	0	0
Porphyromonas cangingivalis	0	0	0.0436549	0	0	0	0	0	0.0149611	0
Prevotella albensis	0.00976134	0.00892379	0	0	0	0	0	0	0.00498703	0
Prevotella baroniae	0.00488067	0	0	0	0	0	0	0	0.00997407	0
Prevotella bergensis	0.00488067	0	0	0	0	0	0	0	0	0
Prevotella bivia	0.014642	0.0133857	0	0	0	0.00605877	0.00870095	0	0.0448833	0
Prevotella bryantii	0.0244033	0.0178476	0	0	0	0	0	0	0.0847796	0
Prevotella buccae	0.00976134	0	0	0	0	0	0.0304533	0	0.0199481	0.0300918
Prevotella buccalis	0.0244033	0.0044619	0.00671614	0.00433388	0	0.0151469	0.00870095	0	0.0947536	0
Prevotella copri	52.7942	25.348	0.110816	0.0780099	0.00523204	0.0545289	0.304533	0.0297952	84.984	0.021733
Prevotella corporis	0	0.0044619	0	0	0.00523204	0.0817934	0	0	0.0648314	0.00334353
Prevotella dentasini	0	0	0	0	0	0	0	0	0	0.31262
Prevotella denticola	0.522231	0.169552	0	0	0	0	0	0	0.274287	0
Prevotella disiens	0	0	0.0134323	0.00433388	0	0	0	0	0	0.00167177
Prevotella fusca	3.87525	0.245404	0	0.00433388	0	0	0	0	0.782964	0
Prevotella histicola	0.014642	0.0044619	0	0	0	0	0	0	0.0249352	0
Prevotella loescheii	0.0244033	0.00892379	0	0.00433388	0	0	0	0	0.0398963	0.290887
Prevotella maculosa	0.00488067	0	0	0	0	0	0	0	0	0
Prevotella marshii	0.00488067	0	0	0	0	0	0	0	0	0
Prevotella melaninogenica	0	0	0.00335807	0	0.638309	0	0	0	0.0199481	0
Prevotella multiformis	0.07321	0.0267714	0.00335807	0	0	0	0	0	0.219429	0
Prevotella nanceiensis	0	0	0.00335807	0	0	0	0	0	0	0
Prevotella nigrescens	0	0.0044619	0.0201484	0	0	0	0	0	0.00498703	0
Prevotella oralis	0.00976134	0.0044619	0	0	0	0	0	0	0.0149611	0
Prevotella oris	0.336766	0.124933	0	0	0	0.00605877	0	0	0.334131	0.00167177
Prevotella oryzae	0.029284	0.0044619	0	0	0	0	0	0	0.0249352	0
Prevotella oulorum	0	0.0133857	0	0	0	0	0	0	0	0.00167177
Prevotella paludivivens	0.0244033	0.00892379	0	0	0	0	0	0	0.0299222	0
Prevotella ruminicola	0.29284	0.218633	0.00335807	0.0130016	0	0.0121175	0	0.00372439	0.72312	0.0100306
Prevotella salivae	0	0.0044619	0.00335807	0	0	0.00302939	0	0.0111732	0.00498703	0.00334353
Prevotella timonensis	0	0	0.00335807	0	0	0.00605877	0	0	0	0
Prevotella scopos	0	0.0133857	0	0	0	0	0	0	0.00997407	0
Prevotella shahii	0.170823	0.111547	0	0	0	0	0	0	0.533613	0.00668706
Prevotella sp. oral taxon 299	0	0.0044619	0	0	0	0	0	0	0	0
Prevotella veroralis	0.0976134	0.0401571	0.00335807	0	0	0	0	0	0	0
Propionibacterium propionicum	0	0	0	0	0.601685	0	0	0	0	0
Proteus mirabilis	0.00488067	0	0	0	0	0	0	0	0	0
Pseudobutyrivibrio ruminis	0	0.0044619	0	0	0	0.0121175	0	0	0	0
Pseudomonas aeruginosa	0	0	0.00335807	0.00433388	0	0	0.00870095	0	0	0
Pseudomonas deceptionensis	0	0	0.00671614	0.00433388	0	0.00302939	0.00870095	0	0	0
Pseudomonas psychrophila	0	0	0	0.00433388	0	0	0	0	0	0
Pseudomonas viridiflava	0	0	0	0.00433388	0	0.00302939	0	0.00372439	0.00498703	0
Renibacterium salmoninarum	0	0	0.00335807	0	0	0	0	0	0	0
Rhodococcus jostii	0	0	0	0.00433388	0	0	0.00435047	0	0	0
Rikenella microfusus	0	0.0044619	0.742134	0	0	0	0	0	0	0
Roseburia hominis	0.043926	0.638051	0.0604453	0.528734	0.0104641	0	0.130514	1.50838	0.0648314	0.125382
Roseburia intestinalis	0.014642	0.0490808	0.00335807	0.0216694	0.0575524	0.00302939	0.0304533	0.0148976	0.0548574	0.0685424
Rothia mucilaginosa	0	0	0.00335807	0.00866776	0.0104641	0.00908815	0.0130514	0.00372439	0	0.00167177
Rubrobacter radiotolerans	0	0	0.00335807	0	0.0209282	0	0	0	0	0
Rubrobacter xylanophilus	0	0	0.0369388	0	0	0	0	0	0	0
Ruminiclostridium thermocellum	0.014642	0.356952	3.19017	0.203692	0.0837127	0.0878522	0.0217524	0.55121	0	0.22736
Ruminococcus albus	0.126897	0.249866	0.268646	2.26662	0.0313922	0.00302939	1.40085	0.0111732	0.00997407	0.414598
Ruminococcus bromii	0	0.00892379	0	1.3435	0	0	0.452449	0.0558659	0	8.35047
Ruminococcus callidus	0.278198	0.468499	0.0100742	0.277368	0	0.00605877	0.256678	0.119181	0.0548574	0.0250765
Ruminococcus champanellensis	0	0.0044619	0.0268646	0.0130016	0	0.00302939	0.00870095	0.00372439	0	0.0133741
Ruminococcus flavefaciens	0.00488067	0.0267714	0.0201484	0.0520066	0.00523204	0	0.0348038	0.0111732	0.00498703	0.996372
Ruminococcus lactaris	0.00488067	0.0267714	0.00335807	0.0173355	0.00523204	0	0.00870095	0.193669	0	0.00668706
Rummeliibacillus pycnus	0	0	0.00335807	0	0	0	0	0.00372439	0	0
Salinicoccus roseus	0	0	0.00335807	0	0	0	0	0	0	0
Salmonella enterica	0.00488067	0.0044619	0.00671614	0.00433388	0.00523204	0	0	0	0	0
Selenomonas infelix	0	0	0.00671614	0	0	0	0	0	0	0
Selenomonas ruminantium	0	0.0133857	0	0	0	0	0	0.00372439	0	0
Sharpea azabuensis	0	0.0044619	0	0	0	0	0	0	0	0
Sphingobacterium composti Yoo et al. 2007	0	0	0.00335807	0.00433388	0.00523204	0.00302939	0	0	0	0
Sphingobacterium sp. CCBAU 10953	0	0	0.00335807	0.00433388	0	0	0	0	0	0
Sphingobacterium sp. LMG 8345	0	0.0044619	0.00335807	0	0	0	0	0	0	0
Sphingobacterium sp. NBRC 15340	0	0.0044619	0	0	0	0	0	0	0	0
Sphingomonas koreensis	0.00488067	0.0044619	0	0	0	0	0	0	0	0
Spirochaeta bajacaliforniensis	0	0	0.0973841	0	0	0	0	0	0	0
Sporobacter termitidis	0.0244033	0.0669284	0.0235065	0.186357	0.0994088	0.00908815	0.269729	0.242086	0.0598444	0.748951
Staphylococcus epidermidis	0	0	0	0	0.109873	0	0	0	0	0
Stenotrophomonas maltophilia	0	0	0	0	0	0.00605877	0.00435047	0	0	0
Streptococcus agalactiae	0	0.0044619	0.00671614	0.00433388	0	0	0.00435047	0	0	0
Streptococcus alactolyticus	0	0	0.00335807	0	0	0	0.00435047	0	0	0.00167177
Streptococcus anginosus	0	0	0.0335807	0	0	0	0	0	0	0
Streptococcus intermedius	0	0	0.315659	0	0.0209282	0	0	0	0	0
Streptococcus mitis	0.00488067	0.0401571	0.456698	0.0476727	0.350547	0.039382	0.0870095	0.0148976	0	0
Streptococcus oralis	0.00488067	0.0178476	0.0201484	0.0216694	0.0104641	0.0151469	0.100061	0.0260708	0.00498703	0
Streptococcus pneumoniae	0.00488067	0	0.0268646	0.0130016	0	0.00605877	0.00435047	0	0	0
Streptococcus pyogenes	0	0.0044619	0	0	0	0	0	0	0	0
Streptococcus salivarius	0	0.0178476	0.00335807	0.00866776	0.0104641	0.00302939	0	0	0	0.00668706
Streptococcus sanguinis	0	0	0.184694	0	0	0	0	0	0	0
Streptococcus suis	0.00488067	0.0044619	0.701837	0.0173355	0.00523204	0.00605877	0.0130514	0.00372439	0	0
Streptococcus thermophilus	0.00976134	0.334642	0.00335807	0.264367	0.00523204	0.0636171	0.587314	0.018622	0.00997407	0.0117024
Streptococcus uberis	0	0	0.0201484	0	39.5647	0.00302939	0	0	0	0
Streptococcus vestibularis	0	0	0	0	0	0.00302939	0.00870095	0	0	0
Sutterella parvirubra	0.361169	0	0	0.00433388	0	0	0	0	0.0897666	0.0267482
Sutterella sanguinus	0.00488067	0	0	0	0	0	0	0	0.00498703	0
Terrimonas ferruginea	0.00488067	0	0	0	0	0	0	0	0	0
Terrisporobacter mayombei	0	0	0.00335807	0	0.0104641	0	0.0522057	0.00372439	0	0
Thauera selenatis	0	0	0.0100742	0	0.00523204	0	0	0	0	0
Thermobaculum terrenum	0.00488067	0	0.0100742	0	0	0.00605877	0.00435047	0.00372439	0.00498703	0
Thermaerobacter marianensis	0	0	0	0.00433388	0	0	0	0	0	0
Thermincola potens	0	0	0	0	0	0	0	0	0	0
Thermoactinomyces vulgaris	0	0	0	0.00433388	0	0	0	0	0.00334353	0
Tissierella praeacuta	0	0	0	0.0130016	0	0	0	0	0.00498703	0
Uliginosibacterium gangwonense	0	0	0.00671614	0	0	0.00302939	0	0	0	0
Unknown	9.41969	15.0946	19.8462	12.8326	0.00523204	34.0745	27.9474	39.5121	2.24417	33.6995
Veillonella atypica	0	0	0.601095	0	0	0	0	0	0	0.0050153
Veillonella dispar	0.0341647	0.0401571	0.698479	0.0910115	0	0	0.0739581	0.00744879	0	0
Veillonella parvula	0.0195227	0.0044619	0.00671614	0.00866776	0	0.00605877	0.0391543	0.00372439	0	0.0050153
Veillonella ratti	0	0.0044619	0	0.00433388	0	0.00605877	0.00435047	0	0	0
Victivallis sp. MC_44	0	0	0	0.00433388	0	0	0	0	0.00997407	0
