Especie	ERR475482	ERR47553	ERR378968	ERR479011	ERR479024	ERR479029	ERR479037	ERR479065	ERR479146
Lactobacillus sp. JCM 8672	0.00660389	0	0	0	0	0	0	0	0
Lactobacillus sp. NBRC 107185	0	0.000934462	0	0	0	0	0	0	0
Lactobacillus taiwanensis	0.00264155	0	0	0	0	0	0	0	0
Lactobacillus thailandensis	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus tucceti	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus vaginalis	0.109625	0.000934462	0	0	0	0	0	0	0
Lactobacillus versmoldensis	0	0	0	0	0	0.09067	0	0	0
Lactobacillus vini	0.00396233	0	0	0	0	0	0	0	0
Lactococcus garvieae	0	0	0	0	0	0	0	0.51401	0
Lactococcus lactis	0.154531	0.0252305	0	0	0	0.00105	0.10437	0.46714	0
Lactococcus raffinolactis	0.00132078	0	0	0	0	0	0	0	0
Lactococcus sp. LMG 28767	0.00132078	0	0	0	0	0	0	0	0
Lactonifactor longoviformis	0	0.00280338	0	0	0	0	0	0	0
Leuconostoc gelidum	0	0.00747569	0	0	0	0	0	0	0
Leuconostoc mesenteroides	0.0805674	0	0	0	0	0	0	0	0
Leuconostoc pseudomesenteroides	0.00528311	0.000934462	0	0	0	0	0	0	0
Listeria monocytogenes	0.00132078	0	0	0	0	0	0	0	0
Lysinibacillus odysseyi	0.00132078	0	0	0	0	0	0	0	0
Mageeibacillus indolicus	0.00132078	0.000467231	0	0	0	0	0	0	0
Marvinbryantia formatexigens	0	0.000467231	0	0	0	0	0	0	0
Megamonas funiformis	0	0	0	0.00106	0	0	0	0	0
Megamonas hypermegale	0	0	0	0.18485	0	0	0	0	0
Megamonas rupellensis	0	0	0	0.05995	0	0	0	0	0
Megasphaera cerevisiae	0	0.000467231	0	0	0	0	0	0	0
Megasphaera elsdenii	0.00264155	0.000467231	0	0	0	0	0	0	0
Megasphaera micronuciformis	0	0	0	0	0	0	0	0	0.04368
Melioribacter roseus	0.00264155	0.000467231	0	0	0	0	0	0	0
Methanobrevibacter smithii	0.00132078	2.0703	0.04839	0	0	0	0	0	0
Methanobrevibacter smithii	0	0	0	1.80734	0	12.0613	0	10.3071	0
Methanosphaera cuniculi	0	0.00140169	0	0	0	0	0	0	0
Methanosphaera stadtmanae	0.00132078	0	0	0	0	0	0	0	0
Methylobacterium hispanicum	0.00132078	0	0	0	0	0	0	0	0
Microbacterium phyllosphaerae	0.00132078	0	0	0	0	0	0	0	0
Mitsuokella multacida	0	0.000467231	0	0	0	0	0	0.01029	0
Mogibacterium diversum	0.0858505	0.0219598	0	0	0	0	0	0	0
Mogibacterium neglectum	0.023774	0.00373785	0	0	0	0	0	0	0
Mogibacterium pumilum	0.0198117	0.00233615	0	0	0	0	0	0	0
Mogibacterium sp. CM50	0	0	0	0	0	0	0	0.43411	0
Mogibacterium timidum	0.0145285	0.00233615	0	0	0	0	0	0	0
Mogibacterium vescum	0.00396233	0.000934462	0	0	0	0	0	0	0
Morganella morganii	0	0.000467231	0	0	0	0	0	0	0
Neisseria mucosa	0	0.000467231	0	0	0	0	0	0	0
Neisseria weaveri	0	0.000467231	0	0	0	0	0	0	0
Nitriliruptor alkaliphilus	0.00132078	0	0	0	0	0	0	0	0
Novosphingobium naphthalenivorans	0.0171701	0	0	0	0	0	0	0	0
Novosphingobium naphthalenivorans	0	0.000467231	0	0	0	0	0	0	0
Odoribacter splanchnicus	0	0.000467231	1.0355	0	0	0.66513	0.38244	0.35862	0
Olsenella profusa	0.00396233	0	0	0	0	0	0	0	0
Olsenella uli	0.0290571	0.000934462	0	0	0	0	0	0	0
Oribacterium sinus	0	0	0	0	0	0	0.00195	0	0
Oscillibacter sp. KLE 1745	0	0	0	0	0	0	0	0	0.49716
Oscillibacter valericigenes	0.00924544	0.0331734	0	0	0	0	0	0	0
Oxalobacter formigenes	0	0	0	0.00411	0	0	0	0	0
Oxalophagus oxalicus	0	0.000467231	0	0	0	0	0	0	0
Oxobacter pfennigii	0.00132078	0	0	0	0	0	0	0	0
Paenibacillus alginolyticus	0.00132078	0	0	0	0	0	0	0	0
Paenibacillus borealis	0.00132078	0	0	0	0	0	0	0	0
Paenibacillus polymyxa	0.00396233	0	0	0	0	0	0	0	0
Paenibacillus sp.	0	0.000467231	0	0	0	0	0	0	0
Paenibacillus sp. IHBB 10380	0	0.000467231	0	0	0	0	0	0	0
Paenibacillus sp. IHBB 9852	0	0.000467231	0	0	0	0	0	0	0
Paenibacillus sp. NBRC 13637	0	0.000467231	0	0	0	0	0	0	0
Papillibacter cinnamivorans	0	0.03037	0	0	0	0	0	0	0
Parabacteroides distasonis	0.00396233	0.00140169	0.46722	0	0.4197	1.24936	0.08033	0.20411	0.04517
Parabacteroides goldsteinii	0	0	0.07734	0	0	0	0.41163	0.03201	0
Parabacteroides johnsonii	0	0	0	0.0214	0	0	0	0	0
Parabacteroides merdae	0.00264155	0.00280338	2.15539	4.28823	1.2371	0	0	0.18183	2.39486
Paracoccus aminophilus	0.00396233	0	0	0	0	0	0	0	0
Paracoccus chinensis	0.00396233	0.000467231	0	0	0	0	0	0	0
Paracoccus denitrificans	0.0528311	0.000934462	0	0	0	0	0	0	0
Paracoccus koreensis	0.00924544	0.000467231	0	0	0	0	0	0	0
Paracoccus pantotrophus	0.00660389	0.00140169	0	0	0	0	0	0	0
Paracoccus solventivorans	0.00132078	0	0	0	0	0	0	0	0
Paracoccus sp. MBIC1145	0.00132078	0	0	0	0	0	0	0	0
Paracoccus sp. MBIC3024	0.00132078	0	0	0	0	0	0	0	0
Paracoccus sp. MBIC4017	9.38016	0.325193	0	0	0	0	0	0	0
Paracoccus sp. MBIC4020	0.00528311	0.000467231	0	0	0	0	0	0	0
Paracoccus versutus	0.00396233	0	0	0	0	0	0	0	0
Paracoccus yeei	0.00132078	0	0	0	0	0	0	0	0
Paraprevotella clara	0	0.000934462	0	0.05374	0	0	0	0.23355	0
Paraprevotella xylaniphila	0	0	0	0.01528	0	0	0	0.00755	0
Parascardovia denticolens	0.00264155	0	0	0	0	0	0	0	0
Parasutterella excrementihominis	0.00264155	0	0	0	0	0	0	0	0
Parasutterella excrementihominis	0	0	0	0	0	0.19094	0	0.01437	0.01469
Parvimonas micra	0.0343402	0.0154186	0	0	0	0.24669	0.00624	0.08796	0
Parvimonas micra	0	0	0	0	0	0	0	0	0
Parvimonas micra	0	0	0	0	0	0	0	0	0
Parvimonas micra	0	0	0	0	0	0	0	0	0
Pectinatus haikarae	0.00660389	0	0	0	0	0	0	0	0
Pediococcus pentosaceus	0	0	0	0	0	0	0	0.01884	0
Peptococcus niger	0.536236	0.00140169	0	0	0	0	0	0	0
Peptoniphilus sp. JCM 8141	0	0.00140169	0	0	0	0	0	0	0
Peptoniphilus sp. JCM 8143	0	0.000934462	0	0	0	0	0	0	0
Peptostreptococcus anaerobius	0	0	1.28837	0	0	0	0	0	0
Peptostreptococcus anaerobius	0	0	0	0	0	0	3.56764	0	0
Peptostreptococcus stomatis	0.0501895	0.00140169	0.58154	0.0767	0	0	0	0	0
Peptostreptococcus stomatis	0	0	0	0	0	1.2102	0.51028	3.12338	0
Phascolarctobacterium succinatutens	0	0	0	0	0	0	0	0	0
Phenylobacterium haematophilum	0.0316987	0.00420508	0	0	0	0	0	0	0
Phyllobacterium sophorae	0.00396233	0	0	0	0	0	0	0	0
Porphyromonas endodontalis	0	0	0	0	0	0	0.07633	0	0
Porphyromonas somerae	0	0	0	0.37877	0	0	0	0	0
Prevotella bivia	0	0.000467231	0	0	3.0909	0	0	0	0
Prevotella buccae	0	0	0	0	0	0	0.01753	0	0
Prevotella copri	0.00660389	0.0116808	0	0	0	0	0	3.99987	0
Prevotella denticola	0	0	0	0	0	0	1.42157	0.34016	0
Prevotella fusca	0.00132078	0.000467231	0	0	0	0	0	0	0
Prevotella intermedia	0	0	0.26856	0.40944	0	0	0.19935	0.65408	0
Prevotella loescheii	0.00264155	0.000467231	0	0	0	0	0	0	0
Prevotella nigrescens	0	0	0	0	0	0	0	0	0
Prevotella oris	0.0898128	0.00654123	0	0	0	0	1.73877	0	0
Prevotella oryzae	0.00528311	0.000934462	0	0	0	0	0	0	0
Prevotella saccharolytica	0.00132078	0	0	0	0	0	0	0	0
Prevotella shahii	0.00528311	0.000934462	0	0.04965	0	0	0	0	0
Prevotella stercorea	0	0	0	0	0	0	0	0.43225	0
Providencia stuartii	0	0.000934462	0	0	0	0	0	0	0
Pseudobacteroides cellulosolvens	0	0.000467231	0	0	0	0	0	0	0
Pseudobutyrivibrio ruminis	0.00132078	0.000934462	0	0	0	0	0	0	0
Pseudobutyrivibrio ruminis	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor capillosus	0.0132078	0	0	0	0	0	0	0	0
Pseudoflavonifractor capillosus	0	0	0	0.01291	0	0.01085	0.04788	0.00324	0.00266
Pseudomonas amygdali	0	0.000467231	0	0	0	0	0	0	0
Pseudomonas fulva	0.00264155	0.000467231	0	0	0	0	0	0	0
Pseudomonas monteilii	0	0.000467231	0	0	0	0	0	0	0
Pseudoramibacter alactolyticus	0.0396233	0	0	0	0	0	0	0	0
Rhizobium mesoamericanum	0.00132078	0	0	0	0	0	0	0	0
Rhodobacter blasticus	0.00792466	0.000467231	0	0	0	0	0	0	0
Rhodobium orientis	0.00396233	0.000467231	0	0	0	0	0	0	0
Rhodopseudomonas palustris	0.00132078	0	0	0	0	0	0	0	0
Robinsoniella peoriensis	0	0.00327062	0	0	0	0	0	0	0
Roseburia hominis	0.207362	0.260248	0.02359	0.27487	0	0	0	0	0
Roseburia hominis	0	0	0	0	0	0.04845	0	0.37232	0
Roseburia intestinalis	0.00396233	0.006074	0	0	0	0.00416	0	0.03602	0
Roseburia inulinivorans	0	0	0.30417	0.3348	0.66831	0.26771	3.87218	0.33727	0
Rothia mucilaginosa	0.0250948	0.00327062	0	0.00103	0	0	0.02784	0	0
Rouxiella sp. 323	0	0.00233615	0	0	0	0	0	0	0
Rubellimicrobium roseum	0	0.000467231	0	0	0	0	0	0	0
Ruminiclostridium thermocellum	0.0383025	0.0331734	0	0	0	0	0	0	0
Ruminococcaceae bacterium D16	0	0	0	0.01342	0	0	0.06501	0.00256	0.00366
Ruminococcus albus	0.128115	0.0107463	0	0	0	0	0.00085	0	0
Ruminococcus bromii	10.7524	2.65854	0.24363	5.77756	16.796	7.20876	0.68853	0.06776	0
Ruminococcus callidus	0.692087	0.453681	0	1.00793	0	0.03188	0.06156	0	0
Ruminococcus champanellensis	0.00924544	0.0102791	0	0	0	0	0	0	0
Ruminococcus faecis	0.00132078	0.00280338	0	0	0	0	0	0	0
Ruminococcus flavefaciens	0.0145285	0.00841015	0	0	0	0	0	0	0
Ruminococcus lactaris	0.00132078	0.0387802	8.22966	0	0	0.91313	1.87735	0.03224	0
Ruminococcus sp. 5_1_39BFAA	0	0	0	0.40824	0	0	0	1.05978	0
Ruminococcus sp. DSM 100440	2.59797	0.000467231	0	0	0	0	0	0	0
Saccharofermentans acetigenes	0	0.000467231	0	0	0	0	0	0	0
Saccharopolyspora rectivirgula	0	0.000467231	0	0	0	0	0	0	0
Salimicrobium halophilum	0	0.000467231	0	0	0	0	0	0	0
Salmonella enterica	0	0.000467231	0	0	0	0	0	0	0
Scardovia inopinata	0	0.000467231	0	0	0	0	0	0	0
Scardovia wiggsiae	0	0	0	0	0	0	0	0	0.00393
Scytonema hofmannii	0.0211324	0.00420508	0	0	0	0	0	0	0
Selenomonas sputigena	0	0	0	0	0	0	0.04114	0	0
Shuttleworthia satelles	0.011887	0.000467231	0	0	0	0	0	0	0
Slackia heliotrinireducens	0	0.000934462	0	0	0	0	0	0	0
Slackia piriformis	0	0	0	0.02749	0	0	0	0	0
Solobacterium moorei	0	0	0	0.11118	0	0.03194	0.10242	0.19087	0.03356
Sphingobium aromaticiconvertens	0.00132078	0	0	0	0	0	0	0	0
Sphingobium chlorophenolicum	0.00132078	0	0	0	0	0	0	0	0
Sphingomonas adhaesiva	0.035661	0.00513954	0	0	0	0	0	0	0
Sphingomonas aquatilis	0.00660389	0.000934462	0	0	0	0	0	0	0
Sphingomonas asaccharolytica	0	0.00233615	0	0	0	0	0	0	0
Sphingomonas astaxanthinifaciens	0.00132078	0	0	0	0	0	0	0	0
Sphingomonas azotifigens	0.466234	0.0327062	0	0	0	0	0	0	0
Sphingomonas changbaiensis	0.00396233	0	0	0	0	0	0	0	0
Sphingomonas elodea	0.00528311	0.00140169	0	0	0	0	0	0	0
Sphingomonas koreensis	0.132078	0.0397146	0	0	0	0	0	0	0
Sphingomonas parapaucimobilis	0.113587	0.0191565	0	0	0	0	0	0	0
Sphingomonas paucimobilis	11.2425	1.10734	0	0	0	0	0	0	0
Sphingomonas pruni	0.00396233	0	0	0	0	0	0	0	0
Sphingomonas sanguinis	11.541	1.16574	0	0	0	0	0	0	0
Sphingomonas sp. ATCC 31555	0.00528311	0.000467231	0	0	0	0	0	0	0
Sphingomonas yunnanensis	0.00792466	0.00280338	0	0	0	0	0	0	0
Sphingopyxis terrae	0.00264155	0.000934462	0	0	0	0	0	0	0
Spiroplasma apis	0	0.000467231	0	0	0	0	0	0	0
Spiroplasma chinense	0	0.000467231	0	0	0	0	0	0	0
Spiroplasma floricola	0	0.000467231	0	0	0	0	0	0	0
Spiroplasma platyhelix	0	0.000467231	0	0	0	0	0	0	0
Spiroplasma sabaudiense	0	0.000467231	0	0	0	0	0	0	0
Sporobacter termitidis	0.0937752	0.0228943	0	0	0	0	0	0	0
Sporohalobacter lortetii	0.00132078	0	0	0	0	0	0	0	0
Staphylococcus epidermidis	0.00660389	0.000467231	0	0	0	0	0	0	0
Streptococcus acidominimus	0.0726427	0.006074	0	0	0	0	0	0	0
Streptococcus agalactiae	0.0343402	0.00467231	0.64258	0	0	0	0	0	0
Streptococcus alactolyticus	0.0449064	0	0	0	0	0	0	0	0
Streptococcus anginosus	0.525669	0.0116808	0.05701	0	0	0.01927	0.09703	0.02656	0
Streptococcus australis	0	0	0	0	0	0.01615	0	0	0
Streptococcus constellatus	0.00792466	0.00140169	0	0	0	0	0	0	0
Streptococcus criceti	0.00396233	0	0	0	0	0	0	0	0
Streptococcus downei	0.0290571	0	0	0	0	0	0	0	0
Streptococcus equi	0.0541519	0.00841015	0	0	0	0	0	0	0
Streptococcus ferus	0	0.000467231	0	0	0	0	0	0	0
Streptococcus gordonii	0	0	0	0	0	0	0.02259	0	0.02122
Streptococcus henryi	0.00132078	0.000467231	0	0	0	0	0	0	0
Streptococcus hyointestinalis	0.00396233	0	0	0	0	0	0	0	0
Streptococcus infantarius	0.00660389	0.000934462	0	0	0	0	0	0	0
Streptococcus infantis	0	0	0	0	0	0	0.04001	0	0
Streptococcus intermedius	0.0792466	0.006074	0	0	0	0	0	0	0
Streptococcus lutetiensis	0	0.00186892	0	0	0	0	0	0	0
Streptococcus macedonicus	0.00132078	0.000467231	0	0	0	0	0	0	0
Streptococcus minor	0.00660389	0	0	0	0	0	0	0	0
Streptococcus mitis	1.88871	0.175679	0	0	0	0.01102	0.07687	0	0
Streptococcus mutans	0.126795	0	0	0	0	0	0	0	0
Streptococcus oralis	0.239061	0.0373785	0	0	0	0	0	0	0
Streptococcus orisratti	0.00132078	0	0	0	0	0	0	0	0
Streptococcus parasanguinis	0	0	0	0.01788	0	0.04873	3.3394	0.00784	0.0251
Streptococcus pasteurianus	0.00264155	0.00186892	0	0	0	0	0.23595	0	0
Streptococcus pneumoniae	0.00396233	0.000934462	0	0	0	0	0	0	0
Streptococcus ratti	0.00132078	0	0	0	0	0	0	0	0
Streptococcus salivarius	7.45182	0.493863	0.01186	0	0	0.45492	0.3117	0.04353	0.27664
Streptococcus sanguinis	0.00264155	0	0	0	0	0	0	0	0
Streptococcus sobrinus	0.0303779	0	0	0	0	0	0	0	0
Streptococcus sp. MR-1933	0.00132078	0	0	0	0	0	0	0	0
Streptococcus sp. MR-1949	0.00528311	0.00140169	0	0	0	0	0	0	0
Streptococcus suis	0.0633973	0.00841015	0	0	0	0	0	0	0
Streptococcus thermophilus	1.85437	0.147178	0	0	0	1.64606	0.11736	0	0
Streptococcus tigurinus	0	0	0	0	0	0	0.01643	0	0
Streptococcus uberis	0.0805674	0.018222	0	0	0	0	0	0	0
Streptococcus vestibularis	0.474159	0.0327062	0	0	0	0.03356	1.28101	0	0
Streptomyces sp. NRRL B-3253	0.00132078	0	0	0	0	0	0	0	0
Streptomyces sp. NRRL S-455	0.00132078	0	0	0	0	0	0	0	0
Subdoligranulum variabile	0	0	0	0.00273	0	0.0178	0	0	0
Succinatimonas hippei	0	0	0	0	0	0	0.02572	0	0
Sutterella wadsworthensis	0	0	0	0	0	0	0.46313	0	0
Syntrophomonas wolfei	0.00132078	0.000467231	0	0	0	0	0	0	0
Terrisporobacter mayombei	0	0.00140169	0	0	0	0	0	0	0
Tetragenococcus halophilus	0.00132078	0	0	0	0	0	0	0	0
Thermincola potens	0	0.000934462	0	0	0	0	0	0	0
Thermobaculum terrenum	0	0.000467231	0	0	0	0	0	0	0
Thermobrachium celere	0.00132078	0.000934462	0	0	0	0	0	0	0
Thermomicrobium roseum	0	0.000467231	0	0	0	0	0	0	0
Tindallia magadiensis	0	0.000467231	0	0	0	0	0	0	0
Treponema denticola	0	0	0	0	0	0	0.0092	0	0
Treponema socranskii	0	0	0	0.00278	0	0	0	0	0
Treponema socranskii	0	0	0	0	0	0	0.012	0	0
Trichococcus sp. KOPRI80176	0	0.000467231	0	0	0	0	0	0	0
Truepera radiovictrix	0	0.000467231	0	0	0	0	0	0	0
Turicibacter sanguinis	0	0	0.00617	0	0	0	0	0	0
Tyzzerella nexilis	0	0	0	0	0	0	0.0596	0	0.05368
Unknown	19.1011	0	0	0	0	0	0	0	0
Unknown	0.00396233	0	0	0	0	0	0	0	0
Unknown	0.00132078	0	0	0	0	0	0	0	0
Unknown	0	63.8882	0	0	0	0	0	0	0
Unknown	0	0	5.62463	0	0	0	0	0	0
Unknown	0	0	0	15.8109	0	0	0	0	0
Unknown	0	0	0	0	14.4131	0	0	0	0
Unknown	0	0	0	0	0	5.0288	0	0	0
Unknown	0	0	0	0	0	0	16.6506	0	0
Unknown	0	0	0	0	0	0	0	7.99359	0
Unknown	0	0	0	0	0	0	0	0	14.2068
Vagococcus fluvialis	0.00132078	0.000934462	0	0	0	0	0	0	0
Vagococcus lutrae	0	0.000467231	0	0	0	0	0	0	0
Veillonella atypica	0	0	0	0	0	0	0.14407	0	0
Veillonella dispar	0.0396233	0.00420508	0	0	0	0	0	0	0
Veillonella dispar	0	0	0	0	0	0	0.49916	0	0
Veillonella parvula	0	0.00467231	0.07804	0	0	0	0	0	0
Veillonella parvula	0	0	0	0	0	0	2.59162	0	0.01869
Veillonella ratti	0	0.000467231	0	0	0	0	0	0	0
Victivallis sp. MC_44	0.00132078	0.000467231	0	0	0	0	0	0	0
Virgibacillus sp. YIM C510	0	0.000467231	0	0	0	0	0	0	0
Viridibacillus arvi	0.00132078	0	0	0	0	0	0	0	0
Zymomonas mobilis	0.00528311	0.00186892	0	0	0	0	0	0	0
