scientific_name	ERR1073394	ERR1090415	ERR2056873	ERR2092345	ERR2239313	ERR2239357	ERR2239366	ERR2239391	ERR2239394	ERR2242500
Prevotella denticola	0	0	0	0.119007	0	0	0	0	0	0
Prevotella disiens	0	0.0118385	0	0	0	0	0	0	0	0
Prevotella fusca	0	0	0	1.03661	0	0	0	0	0	0
Prevotella histicola	0	0.00394617	0	0	0	0	0	0	0	0
Prevotella loescheii	0	0	0	0.0313175	0	0	0	0	0	0
Prevotella multiformis	0	0	0	0.00626351	0	0	0	0	0	0
Prevotella nigrescens	0	0	0	0.00313175	0	0	0	0	0	0
Prevotella oralis	0	0	0	0.0313175	0	0	0	0	0	0
Prevotella oris	0.00255193	0	0.00320842	0.0720303	0	0	0	0	0	0
Prevotella oryzae	0	0	0.00641684	0.419655	0	0	0	0	0	0
Prevotella paludivivens	0	0	0	0.00626351	0	0	0	0	0	0
Prevotella ruminicola	0.0127597	0	0.0192505	0.144061	0	0	0	0	0	0
Prevotella saccharolytica	0	0	0	0.00626351	0	0	0	0	0	0
Prevotella scopos	0	0	0	0.00313175	0	0	0	0	0	0
Prevotella shahii	0	0	0	0.0469763	0	0	0	0	0	0
Prevotella timonensis	0	0	0	0.00313175	0	0	0	0	0	0
Prevotella veroralis	0	0	0	0.00939526	0	0	0	0	0	0
Pseudomonas aeruginosa	0.00255193	0	0	0	0	0	0	0	0	0
Pseudomonas deceptionensis	0	0	0.00320842	0	0	0	0	0	0	0
Pseudomonas fragi	0	0	0	0	0	0	1.74164	0	0	0
Pseudomonas lutea	0	0	0.00320842	0	0	0	0	0	0	0
Pseudomonas psychrophila	0	0.00394617	0.00962526	0	0	0	0	0	0	0
Pseudomonas viridiflava	0.00255193	0	0	0	0	0	0	0	0	0
Rhodococcus opacus	0.00255193	0	0	0	0	0	0	0	0	0
Roseburia hominis	1.1203	0.631388	0.0930441	0.576243	0	0	0	0	1.44642	0.41276
Roseburia intestinalis	0.31644	0.449864	0.0352926	0.172246	0.58851	0	0	0	0	0.46486
Roseburia inulinivorans	0	0	0	0	1.70142	0.10654	0	0.68134	0	0.1295
Rothia mucilaginosa	0	0	0.00641684	0	0	0	0	0	0	0.00259
Rubrobacter xylanophilus	0	0	0	0.00313175	0	0	0	0	0	0
Ruminiclostridium thermocellum	0.0178635	0.0157847	0.0352926	0.0407128	0	0	0	0	0	0
Ruminococcus albus	0.148012	0	0	1.0554	0	0	0	0	0	0
Ruminococcus bromii	0.038279	0	3.80518	0.109611	1.1656	0	0	0	1.36233	0
Ruminococcus callidus	0.0408309	0	0	0.41026	0	0	0	0	0	0
Ruminococcus champanellensis	0	0	0	0.00939526	0	0	0	0	0	0
Ruminococcus flavefaciens	0.00510386	0	0	0.0438445	0	0	0	0	0	0
Ruminococcus lactaris	0	0.0276232	0	0	0	0	1.18442	0	0.01492	0
Ruminococcus sp. DSM 100440	0.0153116	0	0.00641684	0	0	0	0	0	0	0
Saccharofermentans acetigenes	0	0	0	0.0219223	0	0	0	0	0	0
Salinisphaera halophila	0	0.00394617	0	0.00313175	0	0	0	0	0	0
Salisaeta longa	0	0	0	0.00313175	0	0	0	0	0	0
Salmonella enterica	0	0.0749773	0	0	0	0	0	0	0	0
Sediminibacterium salmoneum	0	0.00789235	0	0	0	0	0	0	0	0
Selenomonas ruminantium	0	0	0	0.012527	0	0	0	0	0	0
Slackia exigua	0	0.023677	0	0.0720303	0	0	0	0	0	0
Slackia faecicanis	0	0	0	0.00626351	0	0	0	0	0	0
Slackia heliotrinireducens	0	0	0	0.00313175	0	0	0	0	0	0
Solirubrobacter soli	0	0.0157847	0	0	0	0	0	0	0	0
Sphingobacterium alimentarium	0	0	0	0.00313175	0	0	0	0	0	0
Sphingobacterium composti Yoo et al. 2007	0	0.00394617	0	0.00313175	0	0	0	0	0	0
Sphingobacterium multivorum	0	0	0.00320842	0	0	0	0	0	0	0
Sphingobacterium sp. CCBAU 10953	0.00255193	0	0	0.00313175	0	0	0	0	0	0
Sphingobacterium sp. NBRC 15340	0	0	0.0481263	0	0	0	0	0	0	0
Sporobacter termitidis	0.0102077	0	0.00320842	0.0313175	0	0	0	0	0	0
Sporosarcina ureae	0	0.0118385	0	0.00626351	0	0	0	0	0	0
Staphylococcus epidermidis	0	0	0.00320842	0	0	0	0	0	0	0
Stenotrophomonas maltophilia	0	0.00394617	0	0	0	0	0.435	0	0	0
Stenotrophomonas rhizophila	0	0.00394617	0	0	0	0	0	0	0	0
Streptococcus alactolyticus	0	0	0.00641684	0.012527	0	0	0	0	0	0
Streptococcus australis	0	0	0	0	0	0	0	0	0	0.10174
Streptococcus mitis	0	0.0197309	0.0192505	0.0313175	0	0	0	0	0	0
Streptococcus oralis	0.00255193	0.00789235	0.00641684	0.0219223	0	0	0	0	0	0
Streptococcus parasanguinis	0	0	0	0	0	0	0	0	0	1.4815
Streptococcus salivarius	0	0	0	0.00313175	0.35584	0	0	0	0	1.33057
Streptococcus sanguinis	0	0.00394617	0	0	0	0	0	0	0	0.01533
Streptococcus sobrinus	0	0	0	0.00313175	0	0	0	0	0	0
Streptococcus sp. MR-1951	0	0	0.00320842	0	0	0	0	0	0	0
Streptococcus suis	0.00255193	0.00394617	0	0.00939526	0	0	0	0	0	0
Streptococcus thermophilus	0.00510386	0	0.221381	0.0407128	0	0	0	0	0	0.15378
Streptococcus vestibularis	0	0	0.00320842	0	0	0	0	0	0	0
Streptomyces sp. NRRL F-2305	0	0	0.00320842	0	0	0	0	0	0	0
Sulfuricella denitrificans	0.00255193	0	0	0	0	0	0	0	0	0
Sutterella parvirubra	0	0.0315694	0.314425	0.767279	0	0	0	0	0	0
Sutterella sanguinus	0	0	0.00320842	0	0	0	0	0	0	0
Sutterella wadsworthensis	0	0	0	0	4.44787	0.69291	0	0	0	0
Synechocystis sp. PCC 7509	0	0.00394617	0	0	0	0	0	0	0	0
Tannerella forsythia	0	0	0	0.00626351	0	0	0	0	0	0
Tepidiphilus margaritifer	0	0.00789235	0	0.00313175	0	0	0	0	0	0
Thauera selenatis	0	0.00394617	0	0	0	0	0	0	0	0
Thermobaculum terrenum	0.00510386	0	0	0.00313175	0	0	0	0	0	0
Tissierella praeacuta	0	0	0	0.0281858	0	0	0	0	0	0
Uliginosibacterium gangwonense	0	0	0	0.00313175	0	0	0	0	0	0
Unknown	3.71561	0	0	0	0	0	0	0	0	0
Unknown	0	36.2298	0	0	0	0	0	0	0	0
Unknown	0	0	15.3523	0	0	0	0	0	0	0
Unknown	0	0	0	20.538	0	0	0	0	0	0
Unknown	0	0	0	0	5.93805	0	0	0	0	0
Unknown	0	0	0	0	0	5.05851	0	0	0	0
Unknown	0	0	0	0	0	0	5.52964	0	0	0
Unknown	0	0	0	0	0	0	0	16.2859	0	0
Unknown	0	0	0	0	0	0	0	0	24.1188	0
Unknown	0	0	0	0	0	0	0	0	0	7.54175
Varibaculum cambriense	0	0	0	0.050108	0	0	0	0	0	0
Varibaculum sp. CCUG 31793	0	0	0	0.012527	0	0	0	0	0	0
Veillonella dispar	0	0.00789235	0.0128337	0.0187905	0	0	0	0	0	0
Veillonella parvula	0.00510386	0.00789235	0.0224589	0	0	0	0	0	0	0
Victivallis sp. MC_44	0	0	0	0.037581	0	0	0	0	0	0
Weissella sp. NBRC 107245	0	0.00394617	0.00320842	0	0	0	0	0	0	0
Wenzhouxiangella marina	0	0.00394617	0	0	0	0	0	0	0	0
Zoogloea ramigera	0	0	0	0.00313175	0	0	0	0	0	0
